Epoch Train_Loss Train_l2 Test_l2
0 1.012e-03 2.4680 1.3237
10 5.910e-04 2.0881 1.2805
20 2.770e-04 1.3014 1.4307
30 2.488e-04 1.2267 1.4082
40 2.294e-04 1.1651 1.4296
50 2.181e-04 1.1224 1.4168
60 2.129e-04 1.1033 1.4080
70 2.103e-04 1.0937 1.4142
80 2.090e-04 1.0892 1.4136
90 2.084e-04 1.0866 1.4130
100 2.081e-04 1.0854 1.4125
110 2.080e-04 1.0849 1.4128
120 2.079e-04 1.0846 1.4127
130 2.079e-04 1.0844 1.4126
140 2.078e-04 1.0843 1.4126
150 2.078e-04 1.0843 1.4126
160 2.078e-04 1.0843 1.4126
170 2.078e-04 1.0843 1.4126
180 2.078e-04 1.0843 1.4126
190 2.078e-04 1.0843 1.4126
200 2.078e-04 1.0843 1.4126
210 2.078e-04 1.0843 1.4126
220 2.078e-04 1.0843 1.4126
230 2.078e-04 1.0843 1.4126
240 2.078e-04 1.0843 1.4126
250 2.078e-04 1.0843 1.4126
260 2.078e-04 1.0843 1.4126
270 2.078e-04 1.0843 1.4126
280 2.078e-04 1.0843 1.4126
290 2.078e-04 1.0843 1.4126
300 2.078e-04 1.0843 1.4126
310 2.078e-04 1.0843 1.4126
320 2.078e-04 1.0843 1.4126
330 2.078e-04 1.0843 1.4126
340 2.078e-04 1.0843 1.4126
350 2.078e-04 1.0843 1.4126
360 2.078e-04 1.0843 1.4126
370 2.078e-04 1.0843 1.4126
380 2.078e-04 1.0843 1.4126
390 2.078e-04 1.0843 1.4126
400 2.078e-04 1.0843 1.4126
410 2.078e-04 1.0843 1.4126
420 2.078e-04 1.0843 1.4126
430 2.078e-04 1.0843 1.4126
440 2.078e-04 1.0843 1.4126
450 2.078e-04 1.0843 1.4126
460 2.078e-04 1.0843 1.4126
470 2.078e-04 1.0843 1.4126
480 2.078e-04 1.0843 1.4126
490 2.078e-04 1.0843 1.4126
500 2.078e-04 1.0843 1.4126
510 2.078e-04 1.0843 1.4126
520 2.078e-04 1.0843 1.4126
530 2.078e-04 1.0843 1.4126
540 2.078e-04 1.0843 1.4126
550 2.078e-04 1.0843 1.4126
560 2.078e-04 1.0843 1.4126
570 2.078e-04 1.0843 1.4126
580 2.078e-04 1.0843 1.4126
590 2.078e-04 1.0843 1.4126
600 2.078e-04 1.0843 1.4126
610 2.078e-04 1.0843 1.4126
620 2.078e-04 1.0843 1.4126
630 2.078e-04 1.0843 1.4126
640 2.078e-04 1.0843 1.4126
650 2.078e-04 1.0843 1.4126
660 2.078e-04 1.0843 1.4126
670 2.078e-04 1.0843 1.4126
680 2.078e-04 1.0843 1.4126
690 2.078e-04 1.0843 1.4126
700 2.078e-04 1.0843 1.4126
710 2.078e-04 1.0843 1.4126
720 2.078e-04 1.0843 1.4126
730 2.078e-04 1.0843 1.4126
740 2.078e-04 1.0843 1.4126
750 2.078e-04 1.0843 1.4126
760 2.078e-04 1.0843 1.4126
770 2.078e-04 1.0843 1.4126
780 2.078e-04 1.0843 1.4126
790 2.078e-04 1.0843 1.4126
800 2.078e-04 1.0843 1.4126
810 2.078e-04 1.0843 1.4126
820 2.078e-04 1.0843 1.4126
830 2.078e-04 1.0843 1.4126
840 2.078e-04 1.0843 1.4126
850 2.078e-04 1.0843 1.4126
860 2.078e-04 1.0843 1.4126
870 2.078e-04 1.0843 1.4126
880 2.078e-04 1.0843 1.4126
890 2.078e-04 1.0843 1.4126
900 2.078e-04 1.0843 1.4126
910 2.078e-04 1.0843 1.4126
920 2.078e-04 1.0843 1.4126
930 2.078e-04 1.0843 1.4126
940 2.078e-04 1.0843 1.4126
950 2.078e-04 1.0843 1.4126
960 2.078e-04 1.0843 1.4126
