Step      Train loss    Test loss     Test metric   
0         [1.03e-02]    [9.85e-03]    [1.27e+00]    
1000      [1.30e-04]    [1.29e-04]    [1.72e-01]    
2000      [6.67e-05]    [6.83e-05]    [1.35e-01]    
3000      [4.93e-05]    [5.17e-05]    [1.22e-01]    
4000      [4.37e-05]    [4.61e-05]    [1.16e-01]    
5000      [4.12e-05]    [4.35e-05]    [1.13e-01]    
6000      [3.95e-05]    [4.17e-05]    [1.11e-01]    
7000      [6.53e-05]    [6.59e-05]    [1.31e-01]    
8000      [3.54e-05]    [3.73e-05]    [1.10e-01]    
9000      [2.89e-05]    [3.08e-05]    [1.09e-01]    
10000     [2.73e-05]    [2.90e-05]    [1.10e-01]    
11000     [3.04e-05]    [3.16e-05]    [1.13e-01]    
12000     [8.70e-05]    [8.63e-05]    [1.47e-01]    
13000     [2.63e-05]    [2.71e-05]    [1.01e-01]    
14000     [2.88e-05]    [2.92e-05]    [9.88e-02]    
15000     [1.88e-05]    [1.94e-05]    [8.07e-02]    
16000     [1.65e-05]    [1.70e-05]    [7.43e-02]    
17000     [1.82e-05]    [1.85e-05]    [7.20e-02]    
18000     [1.51e-05]    [1.54e-05]    [6.65e-02]    
19000     [1.48e-05]    [1.50e-05]    [6.50e-02]    
20000     [1.62e-05]    [1.62e-05]    [6.50e-02]    
21000     [1.38e-05]    [1.39e-05]    [6.15e-02]    
22000     [1.25e-05]    [1.25e-05]    [5.92e-02]    
23000     [1.31e-05]    [1.31e-05]    [5.94e-02]    
24000     [1.17e-05]    [1.17e-05]    [5.74e-02]    
25000     [1.13e-05]    [1.12e-05]    [5.67e-02]    
26000     [1.38e-05]    [1.36e-05]    [6.02e-02]    
27000     [1.14e-05]    [1.12e-05]    [5.63e-02]    
28000     [1.48e-05]    [1.45e-05]    [6.09e-02]    
29000     [1.11e-05]    [1.09e-05]    [5.52e-02]    
30000     [1.03e-05]    [1.00e-05]    [5.36e-02]    
31000     [1.12e-05]    [1.10e-05]    [5.50e-02]    
32000     [9.88e-06]    [9.62e-06]    [5.26e-02]    
33000     [9.33e-06]    [9.05e-06]    [5.15e-02]    
34000     [1.15e-05]    [1.11e-05]    [5.43e-02]    
35000     [8.94e-06]    [8.71e-06]    [5.05e-02]    
36000     [8.62e-06]    [8.36e-06]    [4.98e-02]    
37000     [8.70e-06]    [8.48e-06]    [4.99e-02]    
38000     [8.59e-06]    [8.36e-06]    [4.92e-02]    
39000     [8.98e-06]    [8.73e-06]    [5.00e-02]    
40000     [8.20e-06]    [8.03e-06]    [4.84e-02]    
41000     [8.02e-06]    [7.90e-06]    [4.80e-02]    
42000     [9.87e-06]    [9.61e-06]    [5.09e-02]    
43000     [7.84e-06]    [7.70e-06]    [4.75e-02]    
44000     [8.01e-06]    [7.92e-06]    [4.77e-02]    
45000     [7.53e-06]    [7.42e-06]    [4.65e-02]    
46000     [7.36e-06]    [7.33e-06]    [4.62e-02]    
47000     [7.55e-06]    [7.49e-06]    [4.63e-02]    
48000     [9.91e-06]    [9.80e-06]    [5.02e-02]    
49000     [7.66e-06]    [7.58e-06]    [4.60e-02]    
50000     [8.10e-06]    [7.99e-06]    [4.65e-02]    
51000     [7.45e-06]    [7.29e-06]    [4.53e-02]    
52000     [6.91e-06]    [6.87e-06]    [4.42e-02]    
53000     [6.66e-06]    [6.57e-06]    [4.34e-02]    
54000     [7.20e-06]    [7.18e-06]    [4.45e-02]    
55000     [7.61e-06]    [7.50e-06]    [4.48e-02]    
56000     [6.48e-06]    [6.50e-06]    [4.27e-02]    
57000     [6.37e-06]    [6.37e-06]    [4.23e-02]    
58000     [6.95e-06]    [6.84e-06]    [4.30e-02]    
59000     [6.97e-06]    [6.83e-06]    [4.30e-02]    
60000     [7.64e-06]    [7.55e-06]    [4.40e-02]    
61000     [6.10e-06]    [6.07e-06]    [4.11e-02]    
62000     [5.95e-06]    [5.86e-06]    [4.06e-02]    
63000     [6.03e-06]    [5.93e-06]    [4.06e-02]    
64000     [6.14e-06]    [5.98e-06]    [4.06e-02]    
65000     [5.89e-06]    [5.78e-06]    [4.02e-02]    
66000     [6.28e-06]    [6.20e-06]    [4.08e-02]    
67000     [7.06e-06]    [6.95e-06]    [4.22e-02]    
68000     [5.57e-06]    [5.47e-06]    [3.91e-02]    
69000     [5.52e-06]    [5.41e-06]    [3.88e-02]    
70000     [5.56e-06]    [5.45e-06]    [3.89e-02]    
71000     [5.31e-06]    [5.21e-06]    [3.84e-02]    
72000     [5.38e-06]    [5.30e-06]    [3.85e-02]    
73000     [5.26e-06]    [5.18e-06]    [3.81e-02]    
74000     [5.29e-06]    [5.14e-06]    [3.79e-02]    
75000     [6.62e-06]    [6.41e-06]    [4.05e-02]    
76000     [5.16e-06]    [5.09e-06]    [3.77e-02]    
77000     [5.58e-06]    [5.42e-06]    [3.83e-02]    
78000     [5.15e-06]    [5.08e-06]    [3.74e-02]    
79000     [7.71e-06]    [7.56e-06]    [4.22e-02]    
80000     [5.94e-06]    [5.78e-06]    [3.86e-02]    
81000     [5.84e-06]    [5.76e-06]    [3.86e-02]    
82000     [5.05e-06]    [4.93e-06]    [3.68e-02]    
83000     [5.43e-06]    [5.33e-06]    [3.74e-02]    
84000     [5.06e-06]    [5.00e-06]    [3.67e-02]    
85000     [4.95e-06]    [4.88e-06]    [3.64e-02]    
86000     [4.78e-06]    [4.70e-06]    [3.59e-02]    
87000     [5.19e-06]    [5.08e-06]    [3.66e-02]    
88000     [4.95e-06]    [4.84e-06]    [3.61e-02]    
89000     [4.81e-06]    [4.73e-06]    [3.58e-02]    
90000     [5.14e-06]    [5.06e-06]    [3.66e-02]    
91000     [4.74e-06]    [4.64e-06]    [3.56e-02]    
92000     [4.84e-06]    [4.72e-06]    [3.56e-02]    
93000     [6.12e-06]    [5.83e-06]    [3.81e-02]    
94000     [4.63e-06]    [4.57e-06]    [3.51e-02]    
95000     [4.95e-06]    [4.82e-06]    [3.57e-02]    
96000     [5.10e-06]    [4.98e-06]    [3.60e-02]    
97000     [5.34e-06]    [5.20e-06]    [3.63e-02]    
98000     [5.38e-06]    [5.30e-06]    [3.66e-02]    
99000     [4.51e-06]    [4.42e-06]    [3.46e-02]    
100000    [4.61e-06]    [4.52e-06]    [3.47e-02]    
101000    [4.51e-06]    [4.42e-06]    [3.45e-02]    
102000    [4.87e-06]    [4.77e-06]    [3.52e-02]    
103000    [4.58e-06]    [4.47e-06]    [3.45e-02]    
104000    [4.37e-06]    [4.29e-06]    [3.41e-02]    
105000    [5.17e-06]    [4.99e-06]    [3.57e-02]    
106000    [5.41e-06]    [5.38e-06]    [3.64e-02]    
107000    [4.69e-06]    [4.55e-06]    [3.45e-02]    
