Step      Train loss    Test loss     Test metric   
0         [7.75e-01]    [7.94e-01]    [9.96e-01]    
1000      [1.23e-01]    [1.30e-01]    [4.75e-01]    
2000      [8.45e-02]    [9.07e-02]    [4.13e-01]    
3000      [8.34e-02]    [8.95e-02]    [4.08e-01]    
4000      [7.54e-02]    [8.11e-02]    [3.83e-01]    
5000      [7.12e-02]    [7.51e-02]    [3.67e-01]    
6000      [6.23e-02]    [6.51e-02]    [3.47e-01]    
7000      [5.57e-02]    [5.79e-02]    [3.34e-01]    
8000      [4.79e-02]    [5.01e-02]    [3.12e-01]    
9000      [4.28e-02]    [4.52e-02]    [2.96e-01]    
10000     [3.98e-02]    [4.22e-02]    [2.86e-01]    
11000     [4.02e-02]    [4.27e-02]    [2.85e-01]    
12000     [3.61e-02]    [3.87e-02]    [2.71e-01]    
13000     [3.45e-02]    [3.72e-02]    [2.62e-01]    
14000     [3.17e-02]    [3.42e-02]    [2.49e-01]    
15000     [3.11e-02]    [3.33e-02]    [2.45e-01]    
16000     [3.65e-02]    [3.86e-02]    [2.55e-01]    
17000     [2.81e-02]    [2.99e-02]    [2.30e-01]    
18000     [2.74e-02]    [2.90e-02]    [2.25e-01]    
19000     [2.74e-02]    [2.89e-02]    [2.21e-01]    
20000     [2.90e-02]    [3.06e-02]    [2.24e-01]    
21000     [2.61e-02]    [2.74e-02]    [2.12e-01]    
22000     [2.49e-02]    [2.62e-02]    [2.06e-01]    
23000     [2.45e-02]    [2.57e-02]    [2.01e-01]    
24000     [2.39e-02]    [2.51e-02]    [1.97e-01]    
25000     [2.33e-02]    [2.45e-02]    [1.92e-01]    
26000     [2.30e-02]    [2.42e-02]    [1.88e-01]    
27000     [2.27e-02]    [2.39e-02]    [1.86e-01]    
28000     [2.26e-02]    [2.37e-02]    [1.84e-01]    
29000     [2.18e-02]    [2.29e-02]    [1.81e-01]    
30000     [2.64e-02]    [2.76e-02]    [1.95e-01]    
31000     [2.14e-02]    [2.25e-02]    [1.79e-01]    
32000     [2.12e-02]    [2.23e-02]    [1.78e-01]    
33000     [2.11e-02]    [2.21e-02]    [1.77e-01]    
34000     [2.09e-02]    [2.19e-02]    [1.76e-01]    
35000     [2.10e-02]    [2.20e-02]    [1.76e-01]    
36000     [2.19e-02]    [2.29e-02]    [1.80e-01]    
37000     [2.04e-02]    [2.14e-02]    [1.74e-01]    
38000     [2.02e-02]    [2.11e-02]    [1.73e-01]    
39000     [2.02e-02]    [2.11e-02]    [1.73e-01]    
40000     [1.99e-02]    [2.09e-02]    [1.72e-01]    
41000     [1.94e-02]    [2.03e-02]    [1.71e-01]    
42000     [1.94e-02]    [2.03e-02]    [1.70e-01]    
43000     [1.89e-02]    [1.97e-02]    [1.69e-01]    
44000     [1.86e-02]    [1.94e-02]    [1.67e-01]    
45000     [1.83e-02]    [1.91e-02]    [1.66e-01]    
46000     [1.82e-02]    [1.90e-02]    [1.65e-01]    
47000     [1.76e-02]    [1.85e-02]    [1.64e-01]    
48000     [1.73e-02]    [1.81e-02]    [1.63e-01]    
49000     [1.71e-02]    [1.79e-02]    [1.62e-01]    
50000     [1.68e-02]    [1.76e-02]    [1.61e-01]    
51000     [1.64e-02]    [1.72e-02]    [1.60e-01]    
52000     [1.62e-02]    [1.70e-02]    [1.59e-01]    
53000     [1.59e-02]    [1.66e-02]    [1.58e-01]    
54000     [1.58e-02]    [1.65e-02]    [1.57e-01]    
55000     [1.60e-02]    [1.68e-02]    [1.59e-01]    
56000     [1.52e-02]    [1.60e-02]    [1.56e-01]    
57000     [1.53e-02]    [1.62e-02]    [1.56e-01]    
58000     [1.50e-02]    [1.58e-02]    [1.55e-01]    
59000     [1.47e-02]    [1.55e-02]    [1.54e-01]    
60000     [1.47e-02]    [1.56e-02]    [1.54e-01]    
61000     [1.44e-02]    [1.53e-02]    [1.53e-01]    
62000     [1.43e-02]    [1.52e-02]    [1.53e-01]    
63000     [1.41e-02]    [1.50e-02]    [1.52e-01]    
64000     [1.40e-02]    [1.48e-02]    [1.52e-01]    
65000     [1.40e-02]    [1.49e-02]    [1.52e-01]    
66000     [1.39e-02]    [1.48e-02]    [1.52e-01]    
67000     [1.36e-02]    [1.45e-02]    [1.50e-01]    
68000     [1.34e-02]    [1.44e-02]    [1.50e-01]    
69000     [1.33e-02]    [1.43e-02]    [1.49e-01]    
70000     [1.32e-02]    [1.42e-02]    [1.49e-01]    
71000     [1.31e-02]    [1.41e-02]    [1.49e-01]    
72000     [1.30e-02]    [1.40e-02]    [1.49e-01]    
73000     [1.29e-02]    [1.40e-02]    [1.49e-01]    
74000     [1.28e-02]    [1.39e-02]    [1.48e-01]    
75000     [1.28e-02]    [1.38e-02]    [1.48e-01]    
76000     [1.28e-02]    [1.38e-02]    [1.48e-01]    
77000     [1.26e-02]    [1.36e-02]    [1.47e-01]    
78000     [1.26e-02]    [1.36e-02]    [1.47e-01]    
79000     [1.25e-02]    [1.35e-02]    [1.46e-01]    
80000     [1.24e-02]    [1.34e-02]    [1.46e-01]    
81000     [1.23e-02]    [1.34e-02]    [1.46e-01]    
82000     [1.22e-02]    [1.33e-02]    [1.45e-01]    
83000     [1.22e-02]    [1.33e-02]    [1.45e-01]    
84000     [1.21e-02]    [1.32e-02]    [1.45e-01]    
85000     [1.23e-02]    [1.34e-02]    [1.46e-01]    
86000     [1.20e-02]    [1.31e-02]    [1.45e-01]    
