Step      Train loss    Test loss     Test metric   
0         [9.77e-04]    [9.42e-04]    [1.17e+00]    
1000      [1.57e-04]    [1.54e-04]    [4.81e-01]    
2000      [2.89e-04]    [2.80e-04]    [6.98e-01]    
3000      [1.81e-04]    [1.77e-04]    [5.49e-01]    
4000      [6.82e-05]    [6.79e-05]    [3.61e-01]    
5000      [4.10e-05]    [4.18e-05]    [3.24e-01]    
6000      [2.84e-05]    [2.96e-05]    [3.11e-01]    
7000      [2.65e-05]    [2.78e-05]    [3.16e-01]    
8000      [2.02e-05]    [2.15e-05]    [2.95e-01]    
9000      [1.55e-05]    [1.65e-05]    [2.68e-01]    
10000     [1.62e-05]    [1.72e-05]    [2.56e-01]    
11000     [1.18e-05]    [1.25e-05]    [2.27e-01]    
12000     [1.17e-05]    [1.23e-05]    [2.10e-01]    
13000     [9.57e-06]    [1.01e-05]    [1.87e-01]    
14000     [8.39e-06]    [8.80e-06]    [1.69e-01]    
15000     [1.00e-05]    [1.02e-05]    [1.66e-01]    
16000     [7.73e-06]    [7.99e-06]    [1.52e-01]    
17000     [7.22e-06]    [7.34e-06]    [1.47e-01]    
18000     [8.26e-06]    [8.29e-06]    [1.49e-01]    
19000     [8.41e-06]    [8.54e-06]    [1.45e-01]    
20000     [8.84e-06]    [8.82e-06]    [1.45e-01]    
21000     [6.79e-06]    [6.78e-06]    [1.34e-01]    
22000     [5.25e-06]    [5.37e-06]    [1.24e-01]    
23000     [5.48e-06]    [5.57e-06]    [1.23e-01]    
24000     [6.79e-06]    [6.76e-06]    [1.29e-01]    
25000     [4.94e-06]    [5.04e-06]    [1.17e-01]    
26000     [5.25e-06]    [5.32e-06]    [1.17e-01]    
27000     [5.13e-06]    [5.18e-06]    [1.16e-01]    
28000     [5.73e-06]    [5.82e-06]    [1.17e-01]    
29000     [5.89e-06]    [5.97e-06]    [1.16e-01]    
30000     [4.74e-06]    [4.85e-06]    [1.09e-01]    
31000     [4.30e-06]    [4.37e-06]    [1.06e-01]    
32000     [4.83e-06]    [4.89e-06]    [1.08e-01]    
33000     [4.38e-06]    [4.44e-06]    [1.06e-01]    
34000     [4.82e-06]    [4.85e-06]    [1.08e-01]    
35000     [4.58e-06]    [4.55e-06]    [1.06e-01]    
36000     [4.27e-06]    [4.27e-06]    [1.03e-01]    
37000     [4.24e-06]    [4.29e-06]    [1.03e-01]    
38000     [3.98e-06]    [4.01e-06]    [1.01e-01]    
39000     [5.23e-06]    [5.11e-06]    [1.09e-01]    
40000     [3.95e-06]    [3.98e-06]    [1.00e-01]    
41000     [3.84e-06]    [3.86e-06]    [9.96e-02]    
42000     [3.66e-06]    [3.71e-06]    [9.82e-02]    
43000     [4.23e-06]    [4.23e-06]    [1.02e-01]    
44000     [3.68e-06]    [3.71e-06]    [9.81e-02]    
45000     [3.95e-06]    [3.98e-06]    [9.97e-02]    
46000     [3.98e-06]    [3.99e-06]    [1.00e-01]    
47000     [3.54e-06]    [3.56e-06]    [9.69e-02]    
48000     [3.65e-06]    [3.64e-06]    [9.74e-02]    
49000     [3.53e-06]    [3.53e-06]    [9.65e-02]    
50000     [3.56e-06]    [3.54e-06]    [9.65e-02]    
51000     [3.36e-06]    [3.35e-06]    [9.48e-02]    
52000     [4.19e-06]    [4.10e-06]    [9.97e-02]    
53000     [3.69e-06]    [3.69e-06]    [9.70e-02]    
54000     [3.24e-06]    [3.24e-06]    [9.33e-02]    
55000     [3.30e-06]    [3.31e-06]    [9.36e-02]    
56000     [3.37e-06]    [3.37e-06]    [9.37e-02]    
57000     [3.13e-06]    [3.13e-06]    [9.24e-02]    
58000     [3.20e-06]    [3.20e-06]    [9.28e-02]    
59000     [3.95e-06]    [3.89e-06]    [9.76e-02]    
60000     [3.22e-06]    [3.20e-06]    [9.31e-02]    
61000     [3.25e-06]    [3.22e-06]    [9.32e-02]    
62000     [3.14e-06]    [3.13e-06]    [9.25e-02]    
63000     [2.95e-06]    [2.93e-06]    [9.05e-02]    
64000     [3.35e-06]    [3.31e-06]    [9.34e-02]    
65000     [2.95e-06]    [2.91e-06]    [8.98e-02]    
66000     [2.94e-06]    [2.93e-06]    [8.97e-02]    
67000     [2.87e-06]    [2.84e-06]    [8.87e-02]    
68000     [2.95e-06]    [2.91e-06]    [8.89e-02]    
69000     [2.80e-06]    [2.77e-06]    [8.75e-02]    
70000     [2.86e-06]    [2.85e-06]    [8.79e-02]    
71000     [3.00e-06]    [2.95e-06]    [8.87e-02]    
72000     [2.85e-06]    [2.82e-06]    [8.71e-02]    
73000     [2.74e-06]    [2.72e-06]    [8.60e-02]    
74000     [2.75e-06]    [2.72e-06]    [8.57e-02]    
75000     [2.78e-06]    [2.74e-06]    [8.56e-02]    
76000     [3.63e-06]    [3.60e-06]    [9.25e-02]    
77000     [2.64e-06]    [2.62e-06]    [8.41e-02]    
78000     [2.77e-06]    [2.73e-06]    [8.49e-02]    
79000     [2.68e-06]    [2.63e-06]    [8.38e-02]    
80000     [2.73e-06]    [2.68e-06]    [8.41e-02]    
81000     [2.67e-06]    [2.61e-06]    [8.33e-02]    
82000     [2.65e-06]    [2.61e-06]    [8.27e-02]    
