Step      Train loss    Test loss     Test metric   
0         [4.04e-01]    [4.13e-01]    [1.11e+00]    
1000      [8.46e-02]    [8.93e-02]    [6.33e-01]    
2000      [1.01e-01]    [1.07e-01]    [6.78e-01]    
3000      [6.20e-02]    [6.63e-02]    [5.67e-01]    
4000      [5.27e-02]    [5.68e-02]    [5.44e-01]    
5000      [8.09e-02]    [8.59e-02]    [6.38e-01]    
6000      [4.69e-02]    [5.03e-02]    [5.23e-01]    
7000      [4.91e-02]    [5.26e-02]    [5.35e-01]    
8000      [4.89e-02]    [5.21e-02]    [5.36e-01]    
9000      [4.26e-02]    [4.52e-02]    [5.05e-01]    
10000     [4.23e-02]    [4.48e-02]    [4.98e-01]    
11000     [4.01e-02]    [4.24e-02]    [4.81e-01]    
12000     [4.04e-02]    [4.26e-02]    [4.75e-01]    
13000     [3.72e-02]    [3.92e-02]    [4.51e-01]    
14000     [4.14e-02]    [4.36e-02]    [4.57e-01]    
15000     [3.54e-02]    [3.75e-02]    [4.27e-01]    
16000     [3.40e-02]    [3.60e-02]    [4.16e-01]    
17000     [3.20e-02]    [3.40e-02]    [4.03e-01]    
18000     [3.14e-02]    [3.33e-02]    [4.00e-01]    
19000     [3.08e-02]    [3.26e-02]    [3.96e-01]    
20000     [2.93e-02]    [3.10e-02]    [3.90e-01]    
21000     [2.85e-02]    [3.01e-02]    [3.87e-01]    
22000     [2.81e-02]    [2.97e-02]    [3.86e-01]    
23000     [2.74e-02]    [2.90e-02]    [3.83e-01]    
24000     [2.71e-02]    [2.87e-02]    [3.81e-01]    
25000     [2.67e-02]    [2.82e-02]    [3.79e-01]    
26000     [2.79e-02]    [2.93e-02]    [3.84e-01]    
27000     [2.63e-02]    [2.75e-02]    [3.76e-01]    
28000     [2.60e-02]    [2.71e-02]    [3.76e-01]    
29000     [2.54e-02]    [2.65e-02]    [3.73e-01]    
30000     [2.49e-02]    [2.60e-02]    [3.71e-01]    
31000     [2.45e-02]    [2.56e-02]    [3.70e-01]    
32000     [2.47e-02]    [2.57e-02]    [3.70e-01]    
33000     [2.38e-02]    [2.47e-02]    [3.65e-01]    
34000     [2.34e-02]    [2.42e-02]    [3.62e-01]    
35000     [2.31e-02]    [2.39e-02]    [3.60e-01]    
36000     [2.29e-02]    [2.36e-02]    [3.58e-01]    
37000     [2.22e-02]    [2.29e-02]    [3.54e-01]    
38000     [2.19e-02]    [2.25e-02]    [3.50e-01]    
39000     [2.16e-02]    [2.22e-02]    [3.47e-01]    
40000     [2.16e-02]    [2.22e-02]    [3.46e-01]    
41000     [2.13e-02]    [2.18e-02]    [3.42e-01]    
42000     [2.08e-02]    [2.13e-02]    [3.38e-01]    
43000     [2.08e-02]    [2.13e-02]    [3.37e-01]    
44000     [2.02e-02]    [2.07e-02]    [3.33e-01]    
45000     [2.03e-02]    [2.08e-02]    [3.33e-01]    
46000     [2.05e-02]    [2.10e-02]    [3.33e-01]    
47000     [1.97e-02]    [2.01e-02]    [3.28e-01]    
48000     [1.97e-02]    [2.01e-02]    [3.27e-01]    
49000     [1.95e-02]    [1.99e-02]    [3.24e-01]    
50000     [1.94e-02]    [1.98e-02]    [3.23e-01]    
51000     [1.97e-02]    [2.00e-02]    [3.24e-01]    
52000     [1.91e-02]    [1.95e-02]    [3.20e-01]    
53000     [1.91e-02]    [1.95e-02]    [3.20e-01]    
54000     [1.88e-02]    [1.91e-02]    [3.17e-01]    
55000     [1.87e-02]    [1.90e-02]    [3.16e-01]    
56000     [1.86e-02]    [1.89e-02]    [3.15e-01]    
57000     [1.84e-02]    [1.87e-02]    [3.13e-01]    
58000     [1.85e-02]    [1.88e-02]    [3.13e-01]    
